run_date,target_date,symbol,company_name,weight,latest_date,previous_date,latest_close,previous_close,daily_return,direction,is_complete,is_fresh,is_qualified,is_target_date,included_in_recent_breadth,included_in_strict_breadth,source
2026-06-13,2026-06-12,ISRG,Intuitive Surgical Inc,0.00662277,2026-06-12,2026-06-11,411.06,412.9,-0.004456284814725042,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,HON,Honeywell International Inc,0.006291069999999999,2026-06-12,2026-06-11,220.31,219.12,0.005430814165753972,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,SHOP,Shopify Inc,0.00611724,2026-06-12,2026-06-11,108.24,110.47,-0.020186475966325723,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,BKNG,Booking Holdings Inc,0.00586574,2026-06-12,2026-06-11,164.94,163.59,0.008252338162479278,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,SBUX,Starbucks Corp,0.005263029999999999,2026-06-12,2026-06-11,103.04,102.28,0.007430582714118117,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,VRTX,Vertex Pharmaceuticals Inc,0.00510621,2026-06-12,2026-06-11,444.925,445.04,-0.0002584037389897764,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,FTNT,Fortinet Inc,0.00484777,2026-06-12,2026-06-11,146.3,145.06,0.00854818695712134,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CDNS,Cadence Design Systems Inc,0.00478519,2026-06-12,2026-06-11,384.96,383.74,0.003179235941001668,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MAR,Marriott International Inc/MD,0.00475881,2026-06-12,2026-06-11,402.54,396.89,0.014235682430900232,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ADP,Automatic Data Processing Inc,0.00410577,2026-06-12,2026-06-11,226.21,224.0859624413,0.009478672985847592,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MNST,Monster Beverage Corp,0.00406627,2026-06-12,2026-06-11,92.83,92.03,0.008692817559491361,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CEG,Constellation Energy Corp,0.00403358,2026-06-12,2026-06-11,253.76,246.71,0.028576060962263394,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ADBE,Adobe Inc,0.00402836,2026-06-12,2026-06-11,204.02,218.8,-0.06755027422303472,down,True,True,True,True,True,True,tiingo
