symbol,date,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,source
NVDA,2026-01-25,2026,FY,USD,4542222730000.0,4543029730000.0,21.038583899082145,44.22817549017699,46.99232208614341,31.428342257457523,0.005582766063423543,3.905263812455306,0.855505675997568,26.760753102882155,2.1592429902705366,0.8488299752562743,0.9981723108624011,93442000000,130830000000,0.5805863551302447,0.8190035301064057,0.6573070922179947,0.7633333969089534,0.6288038473944232,0.7466044434264774,0.02643353422697526,0.021283852806575163,0.05882123873128371,2.1252198381990857,0.027980253591308617,0.021205160740582946,0.08565884652076058,0.029573303448211987,0.1167197767924063,30765500000,8061000000,15741500000,65.01907955061175,57.3250100040016,125.04353741496598,190.06261696557772,132.73760696157612,96676000000,96895846963.59137,133155000000,76095000000,fmp
NVDA,2025-01-26,2025,FY,USD,2907803100000.0,2909484100000.0,22.295409856165275,45.39755808329043,47.81167896406093,33.77740227776681,0.019515423105053577,4.439851498864077,0.8793770581778265,14.688113430774406,1.3551109753614334,0.8673505819627259,0.9970690493989771,62079000000,76150000000,0.6530407433625147,0.9186653057311551,0.6901123042251387,0.9187288060811577,0.7528431507492371,0.8706522436240033,0.025063595262003812,0.020927483019740917,0.05049228416732981,1.7360515021459229,0.024797504923484832,0.026751572833091947,0.0989601293516326,0.03629968505023104,0.05371815664734187,16532000000,4504500000,7681000000,64.51278573453796,70.56435552559822,112.72404179049603,177.236827525034,106.67247199943577,59603000000,61067235593.7448,73332000000,47852000000,fmp
NVDA,2024-01-28,2024,FY,USD,1542384300000.0,1546160300000.0,25.379342437871376,55.04308650765397,57.220691314163055,43.4522187561476,0.10611809009920467,4.171291505973097,0.9438844086021505,6.870838386442307,0.541686917780478,0.8800047312082323,0.9924578136463683,33714000000,44516000000,0.4527750730282376,0.616817884201665,0.4944671518293291,0.6924472986178976,0.512868157267306,0.5984354865056174,0.019294802209799466,0.017518980191901592,0.0380562477750089,0.7088859416445623,0.017547027346442992,0.043563901382095135,0.14239519385443683,0.05825481763566528,0.08431718597857839,6913000000,1946000000,5220500000,59.906683956534586,59.27050117321461,115.99362252572048,175.90030648225508,116.62980530904046,25771000000,27247161215.920517,37436000000,21595000000,fmp
NVDA,2023-01-29,2023,FY,USD,476509200000.0,485151200000.0,17.98588270186105,86.00446729303314,127.4031512605042,81.04764450384229,1.443701971266288,3.515617857687033,1.291437728937729,1.8739705041830075,-0.013480096501809409,1.0447261420712748,0.941030835021382,16510000000,27403000000,0.10606575688407557,0.09895863838161394,0.12432401662207548,0.19763811592235644,0.11718684977111943,0.12201392299026546,0.009166664568071298,0.007991451161908312,0.324942386101755,1.1871761658031088,0.067954326388374,0.09045747757099429,0.2720768147104619,0.10043004374582931,0.14686027876256616,4238500000,1488000000,3882000000,51.78523763624231,37.480203133069374,162.079101394388,213.8643390306303,176.38413589756092,3808000000,4081718249.2226744,16053000000,3992000000,fmp
NVDA,2022-01-30,2022,FY,USD,611270400000.0,621111400000.0,23.077632458943302,68.19404918752745,76.37867683226759,54.71865033917717,0.8669720729451149,6.650288350634371,0.9339622641509434,3.0614860279502047,0.3374599358974359,0.9809878281862991,0.9768104549474305,24494000000,34789000000,0.22069839545567702,0.2751788210145523,0.2600602682738206,0.3664512250112731,0.24627709728019379,0.2519572417946402,0.015953659787877838,0.013303441488414947,0.10715854194115064,0.8313458262350937,0.036263654603552055,0.08047856134353867,0.19573456193802483,0.07445938916549008,0.15135673388100573,3539500000,1466000000,2215500000,63.06197518020361,68.94745206059964,100.73365822650705,163.79563340671066,94.84818134611102,12109000000,8363513127.451967,19924000000,11254000000,fmp
AMZN,2025-12-31,2025,FY,USD,2459617920000.0,2525794920000.0,3.523099965965709,18.104239861232564,328.2384561403509,15.276277027476548,0.40024555312959276,1.0508153482718285,1.796240504699369,79.53878453190363,-20.08152683933934,0.8027326188286119,0.9716021489180098,11078000000,486627000000,0.09494622525493801,0.11085037728631068,0.09887063184533054,0.1889482198679041,0.10699097087482645,0.13328344752073623,0.031578075345946414,0.0031285346953399983,0.9448442450220049,2.0046687754729606,0.18386746712343288,0.08132103263386356,0.1513702986648515,0.027153505810936725,0.03969233853518524,61590000000,108136000000,36269500000,34.482155709670764,124.8457832745066,39.24824782415954,73.7304035338303,-51.1153797406763,17875000000,9520413975.216278,378595000000,-177894000000,fmp
AMZN,2024-12-31,2024,FY,USD,2297671470000.0,2349792470000.0,3.6832969987099484,20.278333664143876,71.47005505201047,18.97825360416751,0.4209586883657069,1.063734806137178,1.9557959762354848,58.95453802911595,-17.09412298290843,0.8647701895990542,0.9647000844832442,11436000000,371918000000,0.09481288026449286,0.11900779702068448,0.09987559379519839,0.2071825715984194,0.13315849265857754,0.1539813632108615,0.025786105965793272,0.014309269375225345,0.7162681118772491,1.5720996306468416,0.13010083720113674,0.08662939154397069,0.13879261833440706,0.03450221722712588,0.050690197057420935,53852000000,89672000000,33766000000,31.72557327351758,105.5585709557201,38.27327391752072,69.9988471910383,-35.559723764681806,21066000000,34958637076.17532,254294000000,-148057000000,fmp
AMZN,2023-12-31,2023,FY,USD,1565589760000.0,1627813760000.0,2.83203938864097,19.162924210675016,50.52654685414533,18.207800272924544,0.6960023265698754,1.0450772206625152,2.7919802793755135,36.07795996725859,-17.794084821428573,0.8103609002530296,0.9215984682981909,7434000000,314600000000,0.057639044129626754,0.07440872503480464,0.06117077956805488,0.15071207430340558,0.08228265483024505,0.10153828350374858,0.019433571154681032,0.020578187736741457,0.6207355260989335,1.0835542403879745,0.09173691032299033,0.0977513331071618,0.14896352549214054,0.04179475803996277,0.05773566175495497,47306500000,82290500000,33861500000,33.18170272362709,101.78567561093263,39.906510161154294,73.08821288478138,-28.697462726151244,16338000000,34795568384.60513,171399000000,-153628000000,fmp
AMZN,2022-12-31,2022,FY,USD,855876000000.0,942106000000.0,1.8329516734989288,20.151137919233403,-55.76901675250104,24.56471631205674,2.248383395911556,0.9446435811136924,-17.1756061719324,,-19.396751398567083,0.4583263175618791,1.664051555057439,-8602000000,270621000000,-0.0058831793375479545,0.02773475358459462,-0.006238969492768571,-0.018638346240490815,0.018268498439537283,0.03985915217943127,-0.0031803672494613703,-0.019737672279629293,1.3613321355236139,1.5182128288924406,0.12382705264571008,0.10531282163028738,0.14244245432241923,0.03817441432887858,0.05702707083806127,37625500000,79132000000,33522500000,30.081539661817608,100.59169548975007,43.4781065744328,73.55964623625042,-27.03204925349965,-1175000000,-15808141606.331032,119658000000,-169841000000,fmp
AMZN,2021-12-31,2021,FY,USD,1687206400000.0,1767381400000.0,3.7618106431797576,38.15013706909578,-120.0177509167459,23.757361579718523,1.0777223663516728,1.1357597739445826,1.3885325500539503,31.832776439776662,-14.354421936758893,0.8744332328659415,0.9548298298298298,19314000000,256155000000,0.07933439385184604,0.0670824435384715,0.08339519735246993,0.2413396506202756,0.07817590151202826,0.0894017960134108,0.01977469976405969,-0.008728037067664039,1.3178707880933365,1.7801784464660602,0.12994921480901278,0.08806313880576049,0.11930475797216818,0.027152836606204052,0.04869349350491857,28716500000,75601500000,28217500000,25.55268803929999,105.42681314807743,43.74467585112945,69.29736389042944,-36.12944925764799,-8435000000,-13144150281.745514,117767000000,-120724000000,fmp
