run_date,symbol,weight,provider,history_sources,cache_path,price_column,latest_date,ma200_ready,before_rows,after_rows,fetched_rows,is_complete,was_requested,ok,rate_limited,stopped_after_429,retry_after_seconds,message
2026-06-06,EA,0.00233539,tiingo,tiingo,data/cache/prices/EA.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ODFL,0.00233037,tiingo,tiingo,data/cache/prices/ODFL.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,XEL,0.00227027,tiingo,tiingo,data/cache/prices/XEL.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ADSK,0.0022390599999999,tiingo,tiingo,data/cache/prices/ADSK.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,FER,0.0022343199999999,tiingo,tiingo,data/cache/prices/FER.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MCHP,0.00219555,tiingo,tiingo,data/cache/prices/MCHP.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,EXC,0.00217422,tiingo,tiingo,data/cache/prices/EXC.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,IDXX,0.00206073,tiingo,tiingo,data/cache/prices/IDXX.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CCEP,0.00199858,tiingo,tiingo,data/cache/prices/CCEP.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,KDP,0.00190971,tiingo,tiingo,data/cache/prices/KDP.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ALNY,0.00185035,tiingo,tiingo,data/cache/prices/ALNY.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,TTWO,0.0018278,tiingo,tiingo,data/cache/prices/TTWO.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,AXON,0.00179954,tiingo,tiingo,data/cache/prices/AXON.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,PYPL,0.00175606,tiingo,tiingo,data/cache/prices/PYPL.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,TRI,0.0017480899999999,tiingo,tiingo,data/cache/prices/TRI.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MSTR,0.00173756,tiingo,tiingo,data/cache/prices/MSTR.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,PAYX,0.00166144,tiingo,tiingo,data/cache/prices/PAYX.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ROP,0.0015741,tiingo,tiingo,data/cache/prices/ROP.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,WDAY,0.00141489,tiingo,tiingo,data/cache/prices/WDAY.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CPRT,0.0013797899999999,tiingo,tiingo,data/cache/prices/CPRT.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,GEHC,0.00135694,tiingo,tiingo,data/cache/prices/GEHC.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,DXCM,0.00129101,tiingo,tiingo,data/cache/prices/DXCM.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,KHC,0.00125238,tiingo,tiingo,data/cache/prices/KHC.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CTSH,0.00117158,tiingo,tiingo,data/cache/prices/CTSH.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,VRSK,0.00115413,tiingo,tiingo,data/cache/prices/VRSK.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ZS,0.00096813,tiingo,tiingo,data/cache/prices/ZS.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,INSM,0.00093503,tiingo,tiingo,data/cache/prices/INSM.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CHTR,0.00077029,tiingo,tiingo,data/cache/prices/CHTR.csv,adjusted_close,2026-06-05,True,288,288,0,True,False,True,False,False,,cache complete
