date,symbol,company_name,weight,sector,security_type_code,security_type_name,source
2026-06-19,APP,AppLovin Corp,0.00630834,,COM,Common Stock,invesco
2026-06-19,BKNG,Booking Holdings Inc,0.00596375,,COM,Common Stock,invesco
2026-06-19,SHOP,Shopify Inc,0.00583688,,COM,Common Stock,invesco
2026-06-19,VRTX,Vertex Pharmaceuticals Inc,0.0050179,,COM,Common Stock,invesco
2026-06-19,SBUX,Starbucks Corp,0.005015349999999999,,COM,Common Stock,invesco
2026-06-19,FTNT,Fortinet Inc,0.00468376,,COM,Common Stock,invesco
2026-06-19,CDNS,Cadence Design Systems Inc,0.00467791,,COM,Common Stock,invesco
2026-06-19,MAR,Marriott International Inc/MD,0.00460024,,COM,Common Stock,invesco
2026-06-19,CEG,Constellation Energy Corp,0.00433902,,COM,Common Stock,invesco
2026-06-19,MNST,Monster Beverage Corp,0.00390813,,COM,Common Stock,invesco
2026-06-19,ADP,Automatic Data Processing Inc,0.00387623,,COM,Common Stock,invesco
2026-06-19,SNPS,Synopsys Inc,0.0038163999999999997,,COM,Common Stock,invesco
2026-06-19,CSX,CSX Corp,0.00371115,,COM,Common Stock,invesco
2026-06-19,MELI,MercadoLibre Inc,0.00362566,,COM,Common Stock,invesco
2026-06-19,CMCSA,Comcast Corp,0.0035203,,COM,Common Stock,invesco
2026-06-19,ADBE,Adobe Inc,0.00347947,,COM,Common Stock,invesco
2026-06-19,NXPI,NXP Semiconductors NV,0.00346226,,COM,Common Stock,invesco
2026-06-19,MDLZ,Mondelez International Inc,0.00337058,,COM,Common Stock,invesco
2026-06-19,MPWR,Monolithic Power Systems Inc,0.0033594099999999997,,COM,Common Stock,invesco
2026-06-19,ROST,Ross Stores Inc,0.0032995600000000004,,COM,Common Stock,invesco
2026-06-19,INTU,Intuit Inc,0.00322999,,COM,Common Stock,invesco
2026-06-19,DDOG,Datadog Inc,0.00320382,,COM,Common Stock,invesco
2026-06-19,ORLY,O'Reilly Automotive Inc,0.0031846799999999996,,COM,Common Stock,invesco
2026-06-19,DASH,DoorDash Inc,0.00311027,,COM,Common Stock,invesco
2026-06-19,AEP,American Electric Power Co Inc,0.0030206,,COM,Common Stock,invesco
2026-06-19,CTAS,Cintas Corp,0.00298819,,COM,Common Stock,invesco
2026-06-19,WBD,Warner Bros Discovery Inc,0.00284178,,COM,Common Stock,invesco
2026-06-19,REGN,Regeneron Pharmaceuticals Inc,0.0027717700000000002,,COM,Common Stock,invesco
2026-06-19,PCAR,PACCAR Inc,0.0027359899999999998,,COM,Common Stock,invesco
2026-06-19,LITE,Lumentum Holdings Inc,0.00265447,,COM,Common Stock,invesco
2026-06-19,ABNB,Airbnb Inc,0.00263827,,COM,Common Stock,invesco
2026-06-19,BKR,Baker Hughes Co,0.00252463,,COM,Common Stock,invesco
2026-06-19,MCHP,Microchip Technology Inc,0.00236132,,COM,Common Stock,invesco
2026-06-19,FAST,Fastenal Co,0.0023048,,COM,Common Stock,invesco
2026-06-19,FANG,Diamondback Energy Inc,0.0022639,,COM,Common Stock,invesco
2026-06-19,EA,Electronic Arts Inc,0.0022126000000000003,,COM,Common Stock,invesco
2026-06-19,FER,Ferrovial NV,0.00218341,,COM,Common Stock,invesco
2026-06-19,XEL,Xcel Energy Inc,0.00213363,,COM,Common Stock,invesco
